Program Date 	Film Title 	Director 	Year
5/20/53 	The Cat and the Canary 	Leni, Paul 	1927
  	The Night Cry 	Raymaker, Herman 	1926
6/10/53 	The Knockout 	Sennett, Mack and Roscoe "Fatty" Arbuckle 	1914
  	The Movies March Along 	  	n.d.
  	A Night at the Show 	Chaplin, Charlie 	1915
  	The Three Musketeers 	Niblo, Fred 	1921
7/8/53 	The Covered Wagon 	Cruze, James 	1923
  	Spills and Chills 	Youngson, Robert 	1949
  	A Dog's Life 	Chapiln, Charlie 	1918
  	Pay Day 	Chaplin, Charlie 	1922
7/22/53 	The Fighting Coward 	Cruze, James 	1924
  	The Kid 	Chaplin, Charles 	1921
  	Words for Battle 	Jennings, Humphrey 	1941
8/19/53 	At the Ringside 	Parrott, James 	1921
  	Fire Fighters 	McGowan, Robert and Tom McNamara 	1922
  	Hoboken to Hollywood 	Lord, Del 	1927
  	Safety Last 	Newmeyer, Fred and Sam Taylor 	1923
  	The White Hell of Pitz Palu 	Pabst, G.W. and Dr. Arnold Fanck 	1929
9/2/53 	Greed 	Von Stroheim, Erich 	1925
  	Sailors, Beware 	Yates, Hal 	1927
9/16/53 	The Iron Horse 	Ford, John 	1924
  	Cowboy Ambrose 	Lehrman, Henry 	c.1917- 1922
9/30/53 	Beau Brummel 	Beaumont, Harry 	1924
10/13/53 	Chronicle of the Grey House [Zur Chronik Von Grieshuus] 	von Gerlach, Arthur 	1925
  	Homecoming [Heimkehr] 	May, Joe 	1928
  	Piccadilly 	Dupont, E.A. 	1929
  	Spies [Spione] 	Lang, Fritz 	1927
  	Die Wunderhare Luege der Nina Petrovna [The Wonderful Lie] 	Schwarz, Hanns 	1929
11/24/53 	Dancing Mothers 	Brenon, Herbert 	1926
  	The Spanish Dancer 	Brenon, Herbert 	1923
12/8/53 	How to Vote 	Feist, Felix 	1942
  	I Cover the Waterfront 	Cruze, James 	1933
  	The Waverley Steps 	Eldridge, John 	1948
12/22/53 	The Gangsters and the Girl 	Sidney, Scott 	1914
  	Grass 	Cooper, Merian C. and Ernest B. Schoedsack 	1925
  	His Trysting Place 	Chaplin, Charlie 	1914
  	Mickey's Christmas 	  	n.d.
  	Skinner's Dress Suit 	Seiter, William A. 	1926
1/5/54 	Lulu's Doctor 	Sturgeon, Rollin 	1914
  	My Baby 	Griffith, D.W. 	1912
  	The Return of Draw Egan 	Hart, William S. 	1916
  	The Rival Brothers' Patriotism 	  	1910
  	Unusual Honeymoon 	Baker, George D. 	1912
  	Vanity Fair 	Kent, Charles 	1911
2/16/54 	The Fighting Eagle 	Crisp, Donald 	1927
  	From the Manger to the Cross 	Olcott, Sidney 	1912
3/2/54 	The Collegians, Episode 1: "Benson at Calford" 	Edwards, Harry 	1925
  	Dog Shy 	McCarey, Leo 	1926
  	The Leatherpushers 	Pollard, Harry 	1922
  	Orchids and Ermine 	Santell, Alfred 	1927
3/16/54 	His Royal Flush 	Hart, William S. 	1915
  	The Leatherpushers 	Pollard, Harry 	1922
  	Saturday Afternoon 	Edwards, Harry 	1926
  	Tumbleweeds 	Baggott, King 	1925
3/30/54 	The Birth of a Nation 	Griffith, D.W. 	1915
4/13/54 	Bromo and Juliet 	McCarey, Leo 	1926
  	Raffles 	Baggott, King 	1925
  	Son of the Sheik 	Fitzmaurice, George 	1926
4/27/54 	Are Parents People? 	St. Clair, Malcolm 	1925
  	Ben Hur 	Niblo, Fred 	1925
  	Cohen Saves the Flag 	Sennett, Mack 	1913
5/11/54 	His Naughty Thought 	Sennett, Mack 	1917
  	The Mad Lover 	  	1914
  	Mr. Silent Haskins 	Hart, William S. 	1915
  	My Boy 	Heerman, Victor and Albert Austin 	1921
  	Shoulder Arms 	Chaplin, Charles 	1918
5/25/54 	Barney Oldfield's Race for Life 	Sennett, Mack 	1913
  	The Hunchback of Notre Dame 	Worsley, Wallace 	1923
  	Magic Movie Moments 	Youngson, Robert 	1953
  	Thrills from the Past 	Youngson, Robert 	1954
6/8/54 	The Blue Light [Das Blaue Licht] 	Riefenstahl, Leni 	1932
  	L'Argent [Money] 	L'Herbier, Marcel 	1929
  	The Sacred Mountain [Der Heilige Berg] 	Fanck, Dr. Arnold 	1927
  	The Tournament [Le tournoi dans la cité] 	Renoir, Jean 	1928
6/22/54 	Extase 	Machaty, Gustav 	1932
  	The Joyless Street [Die Freudlose Gasse] 	Pabst, G.W. 	1925
  	Manon Lescaut 	Robison, Arthur 	1926
7/6/54 	The Scarlet Letter 	Sjöström, Victor 	1926
  	The Seventh Age 	Svendsen, Torben Anton 	1947
  	Skylarking 	Lord, Del 	1923
7/20/54 	The Lost World 	Hoyt, Harry 	1925
  	Rubber Tires 	Hale, Alan 	1927
  	Mabel's Dramatic Career 	Sennett, Mack 	1913
1/18/55 	Double Whoopee 	Foster, Lewis 	1929
  	Flirting with Fate 	Cabanne, Christy 	1916
  	Wild Blood 	MacRae, Henry 	1928
2/15/55 	The General 	Keaton, Buster and Clyde Bruckman 	1927
  	Moon Over Las Vegas 	Bruckman, Clyde 	1944
  	Movie Crazy 	Bruckman, Clyde 	1933
2/15/55 	The Flower Fairy 	Velle, Gaston 	1900
	Here Today, Gone Tomorrow 	Anderson, James M 	1954
  	The Lucky Devil 	Tuttle, Frank 	1925
  	Movieland 	Taurog, Norman 	1926
  	Where the North Begins 	Franklin, Chester 	1923
3/15/55 	Barbara Frietchie 	Hillyer, Lambert 	1924
  	Cohen Saves the Flag 	Sennett, Mack 	1913
  	The Rival Brothers' Patriotism 	  	1910
4/21/55 	The Fall of the House of Usher 	Watson, James Sibley 	1929
  	Fast and Furious 	Taurog, Norman 	1924
  	The Ghost That Never Returns 	Room, Abram 	1929
5/17/55 	Her Heart's Desire 	Grandon, Francis 	1909
  	Leading Lizzie Astray 	Sennett, Mack 	1914
  	Mighty Like a Moose 	McCarey, Leo 	1926
  	Othello 	Buchovetski, Dmitri 	1922
  	Sunrise 	Murnau, F.W. 	1927
6/21/55 	My Lady of Whims 	Fitzgerald, Dallas 	1925
  	Walking Back 	Julian, Rupert 	1928
6/28/55 	Bluebeard's Eighth Wife 	Lubitsch, Ernst 	1938
  	Helpmates 	Parrott, James 	1931
  	Let's Go to the Movies 	  	 
7/19/55 	The Little Country Mouse 	Crisp, Donald 	1914
  	Napoleon in 1814 	  	1910
  	Tom Sawyer 	Taylor, William Desmond 	1917
  	The Wolf's Trail 	Ford, Francis 	1927
7/26/55 	The Story of Vernon & Irene Castle 	Potter, H.C. 	1939
  	Busy Bodies 	French, Lloyd 	1932
  	Movies Are Adventure 	  	1949
8/16/55 	The Flame Fighter 	Dillon, Robert 	1925
  	The Perils of Pauline 	Gasnier, Louis 	1914
  	The Indians Are Coming 	MacRae, Henry 	1930
  	The Iron Claw 	José, Edward 	1916
  	The Hazards of Helen 	McGowan, J.P. 	1913
  	Serial Cavalcade 	  	c.1955
  	The Terrible People 	  	 
9/20/55 	History Brought to Life 	  	1948
  	The Phantom of the Opera 	Julian, Rupert 	1925
  	Polishing Up 	Baker, George D. 	1914
  	A Ship Comes In 	Howard, William K. 	1928
10/5/55 	Cain and Artem 	Petrov-Bytov, B.P. 	1929
  	Made for Laughs 	Anderson, James M. 	1952
  	The Restoration 	Griffith, D.W. 	1909
